Model,R2,MAE,RMSE
Random Forest,0.9532541223528808,9.632554616234893,14.339234356574524
XGBoost,0.946519672870636,11.459259986877441,15.337386604517906
Linear Regression,0.875953361633083,17.602310603676976,23.358599666630955
LinearSVR,0.864273180988855,17.857091422979824,24.43358196150452
